         103638405 function calls (93855135 primitive calls) in 46.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
9704376/99   14.785    0.000   19.217    0.194 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:112(_dfs)
      117    6.564    0.056    6.564    0.056 {method 'unbind' of 'torch._C.TensorBase' objects}
  4225874    4.447    0.000    4.803    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:203(_consume_char_code_point)
  9764199    2.161    0.000    2.161    0.000 {method 'items' of 'dict' objects}
   604019    2.158    0.000    2.838    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/utf8_utils.py:43(decode_utf8)
   738067    1.275    0.000    6.274    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:349(_consume_code_points)
 18332885    1.200    0.000    1.200    0.000 {method 'append' of 'list' objects}
     6711    1.138    0.000    7.777    0.001 {built-in method builtins.any}
   703598    0.991    0.000   10.464    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:175(_consume_bytes_partial_match)
  9738645    0.773    0.000    0.773    0.000 {method 'copy' of 'list' objects}
   703598    0.767    0.000   14.534    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:102(probe_token_id)
        5    0.685    0.137    0.685    0.137 {method 'read' of '_ssl._SSLSocket' objects}
14701367/14700876    0.674    0.000   20.318    0.000 {built-in method builtins.len}
  9704376    0.514    0.000    0.514    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:66(<lambda>)
   753855    0.442    0.000    0.442    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:188(<listcomp>)
   703612    0.440    0.000    0.839    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:379(_must_stop)
   753854    0.436    0.000    0.436    0.000 {method 'id_to_token' of 'tokenizers.Tokenizer' objects}
   753855    0.391    0.000    2.585    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:76(map)
       99    0.386    0.004   19.603    0.198 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:63(__len__)
  8122517    0.354    0.000    0.354    0.000 {method 'extend' of 'list' objects}
   753855    0.354    0.000    0.796    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:186(token2bytes)
