         26758727 function calls (26577491 primitive calls) in 16.583 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    2.821    0.036    2.821    0.036 {method 'unbind' of 'torch._C.TensorBase' objects}
  2626014    2.366    0.000    2.627    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:203(_consume_char_code_point)
        5    1.141    0.228    1.141    0.228 {method 'read' of '_ssl._SSLSocket' objects}
   400645    1.081    0.000    6.594    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:150(_probe_bytes_partial_match)
     6664    0.880    0.000    3.778    0.001 {built-in method builtins.any}
       38    0.879    0.023    7.821    0.206 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:80(bfs)
   400685    0.799    0.000    3.549    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:357(_consume_code_points)
    96796    0.395    0.000    0.515    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/utf8_utils.py:43(decode_utf8)
   400683    0.375    0.000    0.559    0.000 /usr/lib/python3.8/logging/__init__.py:2084(debug)
   400683    0.344    0.000    0.654    0.000 /usr/lib/python3.8/dataclasses.py:361(wrapper)
  4951469    0.259    0.000    0.260    0.000 {method 'extend' of 'list' objects}
4977995/4977604    0.241    0.000    0.395    0.000 {built-in method builtins.len}
       20    0.235    0.012    0.235    0.012 {method 'masked_fill_' of 'torch._C.TensorBase' objects}
      435    0.226    0.001    0.265    0.001 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.195    0.195    0.195    0.195 {method 'normal_' of 'torch._C.TensorBase' objects}
    98024    0.178    0.000    0.178    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:21(__init__)
   400683    0.162    0.000    0.162    0.000 <string>:2(__repr__)
   400645    0.159    0.000    6.753    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/token_grammar_recognizer.py:246(<lambda>)
    50257    0.140    0.000    0.317    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:31(insert)
    278/2    0.132    0.000    0.291    0.146 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:327(_find_torch_objects)
100518/50261    0.123    0.000    0.457    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:232(to_py_obj)
       26    0.121    0.005    0.121    0.005 /usr/lib/python3.8/json/decoder.py:343(raw_decode)
      148    0.116    0.001    0.116    0.001 {method 'copy_' of 'torch._C.TensorBase' objects}
  1479669    0.109    0.000    0.109    0.000 {method 'append' of 'list' objects}
  98024/1    0.104    0.000    0.135    0.135 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:120(_dfs)
   400787    0.095    0.000    0.136    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/utf8_utils.py:30(__hash__)
   400764    0.091    0.000    0.154    0.000 /usr/lib/python3.8/logging/__init__.py:1424(debug)
    50257    0.090    0.000    0.090    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:76(insert_into_trie)
       53    0.082    0.002    0.082    0.002 {built-in method torch.tensor}
   393338    0.076    0.000    0.077    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/recognizer.py:300(valid_partial_match)
619010/618131    0.066    0.000    0.095    0.000 {built-in method builtins.isinstance}
