         4770736 function calls (4687915 primitive calls) in 4.446 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.805    0.161    0.805    0.161 {method 'read' of '_ssl._SSLSocket' objects}
       20    0.321    0.016    0.321    0.016 {method 'masked_fill_' of 'torch._C.TensorBase' objects}
    98024    0.234    0.000    0.234    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:18(__init__)
      435    0.220    0.001    0.260    0.001 {method 'to' of 'torch._C.TensorBase' objects}
        1    0.194    0.194    0.194    0.194 {method 'normal_' of 'torch._C.TensorBase' objects}
      148    0.126    0.001    0.126    0.001 {method 'copy_' of 'torch._C.TensorBase' objects}
    278/2    0.125    0.000    0.275    0.138 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:327(_find_torch_objects)
       26    0.123    0.005    0.123    0.005 /usr/lib/python3.8/json/decoder.py:343(raw_decode)
100516/50259    0.122    0.000    0.455    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:232(to_py_obj)
    50257    0.090    0.000    0.090    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:76(insert_into_trie)
    50257    0.073    0.000    0.307    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:28(insert)
603733/602874    0.063    0.000    0.093    0.000 {built-in method builtins.isinstance}
        2    0.058    0.029    0.073    0.037 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/models/gpt2/tokenization_gpt2.py:189(<listcomp>)
    50259    0.058    0.000    0.155    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:90(_get_frameworks_and_test_func)
    50259    0.056    0.000    0.056    0.000 {method 'decode' of 'tokenizers.Tokenizer' objects}
   641930    0.054    0.000    0.054    0.000 {method 'startswith' of 'str' objects}
      806    0.047    0.000    0.047    0.000 {built-in method marshal.loads}
   363497    0.044    0.000    0.072    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/_dynamo/allowed_functions.py:322(<genexpr>)
    50259    0.041    0.000    0.587    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_base.py:3726(decode)
        1    0.040    0.040    0.040    0.040 {built-in method from_file}
    50259    0.040    0.000    0.059    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:74(infer_framework_from_repr)
        3    0.039    0.013    0.039    0.013 {method 'get_vocab' of 'tokenizers.Tokenizer' objects}
  1501/70    0.038    0.000    0.680    0.010 {built-in method builtins.exec}
        1    0.036    0.036    0.036    0.036 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/torch/cuda/__init__.py:621(_raw_device_count_nvml)
      960    0.034    0.000    0.034    0.000 {built-in method torch.addmm}
        2    0.030    0.015    0.030    0.015 {method 'to_str' of 'tokenizers.Tokenizer' objects}
    50257    0.029    0.000    0.617    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/vocab_struct.py:42(fmt_token)
    50259    0.028    0.000    0.091    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/tokenization_utils_fast.py:614(_decode)
       12    0.027    0.002    0.027    0.002 {built-in method torch.tril}
    50256    0.027    0.000    0.027    0.000 {method 'id_to_token' of 'tokenizers.Tokenizer' objects}
    50257    0.026    0.000    0.049    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:186(token2bytes)
        3    0.026    0.009    0.026    0.009 {built-in method torch._C._cuda_getDeviceCount}
    50257    0.023    0.000    0.023    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:188(<listcomp>)
    50257    0.022    0.000    0.152    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:76(map)
     6626    0.022    0.000    0.094    0.000 {built-in method builtins.any}
      480    0.021    0.000    0.021    0.000 {built-in method torch.matmul}
   101149    0.021    0.000    0.021    0.000 {method 'split' of 'str' objects}
      240    0.021    0.000    0.021    0.000 {built-in method torch.pow}
1745/1704    0.021    0.000    0.110    0.000 {built-in method builtins.__build_class__}
        1    0.020    0.020    0.754    0.754 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/trie.py:53(from_tokenizer)
       25    0.019    0.001    0.019    0.001 {method 'fill_' of 'torch._C.TensorBase' objects}
    50259    0.019    0.000    0.019    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:106(<listcomp>)
    50257    0.019    0.000    0.064    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:48(_map)
    50259    0.017    0.000    0.044    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:151(is_torch_tensor)
    50257    0.016    0.000    0.386    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:247(<listcomp>)
    50259    0.016    0.000    0.022    0.000 /home/saibo/.virtualenvs/python3.8/transformers-CFG-dev-edit/lib/python3.8/site-packages/transformers/utils/generic.py:145(_is_torch)
    50257    0.016    0.000    0.080    0.000 /home/saibo/infrastructure/transformers-CFG-dev/transformers_cfg/mapping.py:70(_map)
